[2022-02-09 18:06:14][INFO] Alpha VS Rate program start!
[2022-02-09 18:09:39][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 53                           
[2022-02-09 18:09:40][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 60                           
[2022-02-09 18:09:41][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 61                           
[2022-02-09 18:09:42][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 59                           
[2022-02-09 18:09:43][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 64                           
[2022-02-09 18:09:44][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 64                           
[2022-02-09 18:09:45][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 62                           
[2022-02-09 18:09:46][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 73                           
[2022-02-09 18:09:47][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 70                           
[2022-02-09 18:09:48][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 59                           
[2022-02-09 18:09:50][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 64                           
[2022-02-09 18:09:51][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 63                           
[2022-02-09 18:09:52][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 59                           
[2022-02-09 18:09:53][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 56                           
[2022-02-09 18:09:54][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 56                           
[2022-02-09 18:09:54][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 47                           
[2022-02-09 18:09:55][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 54                           
[2022-02-09 18:09:56][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 59                           
[2022-02-09 18:09:57][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 54                           
[2022-02-09 18:09:58][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 70                           
[2022-02-09 18:09:59][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 58                           
[2022-02-09 18:10:00][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 58                           
[2022-02-09 18:10:01][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 65                           
[2022-02-09 18:10:02][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 67                           
[2022-02-09 18:10:03][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 52                           
[2022-02-09 18:10:04][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 59                           
[2022-02-09 18:10:05][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 58                           
[2022-02-09 18:10:06][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 65                           
[2022-02-09 18:10:08][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 64                           
[2022-02-09 18:10:09][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 63                           
[2022-02-09 18:10:10][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 53                           
[2022-02-09 18:10:10][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 58                           
[2022-02-09 18:10:12][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 64                           
[2022-02-09 18:10:13][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 66                           
[2022-02-09 18:10:14][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 74                           
[2022-02-09 18:10:15][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 62                           
[2022-02-09 18:10:16][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 57                           
[2022-02-09 18:10:17][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 49                           
[2022-02-09 18:10:18][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 54                           
[2022-02-09 18:10:19][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 73                           
[2022-02-09 18:10:20][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 52                           
[2022-02-09 18:10:21][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 60                           
[2022-02-09 18:10:22][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 65                           
[2022-02-09 18:10:23][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 57                           
[2022-02-09 18:10:24][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 63                           
[2022-02-09 18:10:25][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 57                           
[2022-02-09 18:10:26][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 77                           
[2022-02-09 18:10:28][INFO] N: 1000, alpha: 0.8540, success: True, iteration: 75                           
